WTI,worldwide_car_sale,US_trade_balance,US_unemployment_people,tesla_stock_price,US_natural_gas_price,domestic_renewable_energy,domestic_nuclerar_energy,US_interest_rate,gold_price
52.61,17.638,-68129645,7518,50.39,3.30,3781496,26208876,0.75,1192.648
53.46,17.776,-49946423,7399,50.00,2.85,3534270,24746976,0.75,1233.39
49.67,17.127,-59216654,7088,55.66,2.88,3996404,26349492,1.00,1231.063
51.12,17.285,-62609344,7085,62.81,3.10,4095016,26603076,1.00,1267.15
48.54,17.184,-72576262,7059,68.20,3.15,4236066,27340064,1.00,1245.25
45.20,17.184,-65319263,6933,72.32,2.98,3935694,24987716,1.25,1261.277
46.68,17.167,-69994712,6867,64.69,2.98,3735339,24446492,1.25,1235.1
48.06,17.014,-72509202,7097,71.18,2.90,4332538,23828874,1.25,1281.72
49.88,18.324,-64854418,6841,68.22,2.98,4301560,24665704,1.25,1317.045
51.59,18.321,-74943885,6599,66.31,2.88,3899918,24217574,1.25,1280.677
56.66,17.878,-72262905,6697,61.77,3.01,4133330,22582938,1.25,1283.189
57.95,17.714,-63809521,6561,62.27,2.82,4309096,20875666,1.50,1265.674
63.66,17.536,-78148971,6582,70.86,3.87,4435313,19651638,1.50,1332.809
62.18,17.557,-59527195,6641,68.61,2.67,4020960,17582516,1.50,1333.775
62.77,17.706,-59046553,6493,53.23,2.69,4572103,18486612,1.75,1325.562
66.33,17.794,-67562581,6418,58.78,2.80,4775906,18844984,1.75,1335.332
69.98,17.709,-72093031,6209,56.95,2.80,4261578,22736846,1.75,1303.618
67.32,17.650,-67656979,6519,68.59,2.97,4246790,22606842,2.00,1282.126
70.58,17.398,-83472820,6180,59.63,2.83,4529512,26104412,2.00,1238.064
67.85,17.314,-82851871,6167,60.33,2.96,4818010,25505100,2.00,1201.859
70.08,17.801,-72753610,6045,52.95,3.00,4730764,22148228,2.25,1199.198
70.76,18.142,-89362720,6123,67.46,3.28,4792956,24165742,2.25,1214.726
56.69,17.84,-73542263,6034,70.10,4.09,4527266,24316656,2.25,1221.275
48.98,17.95,-72659087,6286,66.56,4.04,4642189,24860948,2.50,1249.887
51.55,17.31,-75061394,6516,61.40,3.11,5069776,24512812,2.50,1291.63
54.98,17.10,-55386185,6181,63.98,2.69,4619620,22067436,2.50,1319.755
58.17,17.83,-59802163,6194,55.97,2.95,5660412,28067002,2.50,1302.286
63.87,17.16,-73888656,5850,47.74,2.65,5282161,28299140,2.50,1287.65
60.87,17.86,-78626917,5938,37.03,2.64,6160923,29542098,2.50,1282.46
54.71,17.74,-69384743,5985,44.69,2.40,5322698,27165594,2.50,1358.488
57.55,17.53,-86155115,6027,48.32,2.37,5449488,23355900,2.25,1414.611
54.84,17.60,-77162893,5999,45.12,2.22,6109594,24393832,2.25,1497.102
56.97,17.64,-72150195,5753,48.17,2.56,4837489,20641596,2.00,1510.336
54.01,17.27,-77024605,5857,62.98,2.33,4446194,21199706,1.75,1494.765
57.07,17.44,-62052391,5811,65.99,2.65,3907288,20455888,1.75,1471.921
59.80,17.29,-66532622,5753,83.67,2.22,4186870,22118336,1.75,1480.025